title,url,date,rating,status,comment
珀尔,https://movie.douban.com/subject/35801819/,2026-08-11,★★,看过,
鬼玩人6：炼狱,https://movie.douban.com/subject/36767846/,2026-08-08,★,看过,
蜘蛛侠：崭新之日,https://movie.douban.com/subject/36246195/,2026-08-02,★★,看过,
群体,https://movie.douban.com/subject/37096700/,2026-08-02,★,看过,
诺曼底72小时,https://movie.douban.com/subject/36916000/,2026-07-26,★★★,看过,
痴迷,https://movie.douban.com/subject/37450627/,2026-07-26,★★★★,看过,
帝王计划：怪兽遗产 第二季,https://movie.douban.com/subject/36850546/,2026-07-24,★,看过,
铁肺,https://movie.douban.com/subject/36371992/,2026-07-22,★★,看过,
揭秘日,https://movie.douban.com/subject/36860212/,2026-07-22,★★★,看过,
我的野蛮女老师,https://movie.douban.com/subject/1308596/,2026-06-22,★★★,看过,
夜勤事件,https://movie.douban.com/subject/37521524/,2026-06-11,★,看过,
给阿嬷的情书,https://movie.douban.com/subject/37116446/,2026-05-31,★★★★,看过,
木乃伊,https://movie.douban.com/subject/36929221/,2026-05-21,★★,看过,
极乐凶间 第二季,https://movie.douban.com/subject/37245783/,2026-03-31,★★★★,看过,
挽救计划,https://movie.douban.com/subject/35010610/,2026-03-29,★,看过,
极乐凶间 第一季,https://movie.douban.com/subject/36350234/,2026-03-29,★★★★,看过,
福尔摩斯：夜魇,https://movie.douban.com/subject/37269056/,2026-03-17,,看过,
13骇人游戏,https://movie.douban.com/subject/6853653/,2026-03-10,★,看过,
侵略机器,https://movie.douban.com/subject/35900174/,2026-03-10,★★,看过,
安娜贝尔3：回家,https://movie.douban.com/subject/30207919/,2026-03-09,★★,看过,
安娜贝尔2：诞生,https://movie.douban.com/subject/26644205/,2026-03-09,★★,看过,
耶稣受难记,https://movie.douban.com/subject/1308750/,2026-03-08,★★★,看过,
教宗的承继,https://movie.douban.com/subject/27132510/,2026-03-08,★★★★,看过,
安娜贝尔,https://movie.douban.com/subject/25812885/,2026-03-04,★★,看过,
高草丛中,https://movie.douban.com/subject/26419635/,2026-03-04,★★,看过,
禁闭男童,https://movie.douban.com/subject/27005769/,2026-03-04,★★,看过,
弗兰肯斯坦,https://movie.douban.com/subject/3262044/,2026-03-02,★★★,看过,
七王国的骑士 第一季,https://movie.douban.com/subject/35341071/,2026-03-02,★★★★,看过,
本能反应,https://movie.douban.com/subject/1293624/,2026-02-26,★★★,看过,
庇护之地,https://movie.douban.com/subject/36892468/,2026-02-26,★★,看过,
诡怪疑云,https://movie.douban.com/subject/27188152/,2026-02-25,★★★,看过,
罪人,https://movie.douban.com/subject/36742579/,2026-02-24,★★★,看过,
黑森灵,https://movie.douban.com/subject/27078344/,2026-02-24,★★,看过,
非常公寓,https://movie.douban.com/subject/1299795/,2026-02-23,★★★,看过,
守法公民,https://movie.douban.com/subject/3009161/,2026-02-23,★★★,看过,
金福南杀人事件始末,https://movie.douban.com/subject/4826419/,2026-02-22,★★★,看过,
星际之门,https://movie.douban.com/subject/1302209/,2026-02-22,★★,看过,
特警判官,https://movie.douban.com/subject/3387483/,2026-02-22,★★,看过,
黑洞频率,https://movie.douban.com/subject/1294183/,2026-02-21,★★★,看过,
少数派报告,https://movie.douban.com/subject/1297689/,2026-02-21,★★★★,看过,
极限审判,https://movie.douban.com/subject/36749573/,2026-02-21,★★,看过,
蜀山传,https://movie.douban.com/subject/1308338/,2026-02-20,★★,看过,
七剑,https://movie.douban.com/subject/1401205/,2026-02-20,★★★,看过,
恶魔之灵,https://movie.douban.com/subject/37089222/,2026-02-20,★★,看过,
密室逃生,https://movie.douban.com/subject/27109679/,2026-02-19,★★,看过,
惊变28年2：白骨圣殿,https://movie.douban.com/subject/36850893/,2026-02-18,★★,看过,
大开眼戒,https://movie.douban.com/subject/1300275/,2026-02-17,★★★★,看过,
新狂蟒之灾,https://movie.douban.com/subject/37014022/,2026-02-14,★,看过,
东北警察故事2,https://movie.douban.com/subject/35813934/,2026-02-10,★★★,看过,
东北警察故事,https://movie.douban.com/subject/35611465/,2026-02-10,★★,看过,
家弑服务,https://movie.douban.com/subject/36367195/,2026-02-10,★★★,看过,
